dimension,level,n,mae_xgb,mae_ci_lo,mae_ci_hi,mae_rf,mean_y
hour,6,991,0.5328,0.4731,0.6046,0.5506,1.3953
hour,7,621,0.4803,0.3974,0.5729,0.4753,1.1999
hour,8,687,0.3789,0.3308,0.435,0.3955,1.0966
hour,9,828,0.44,0.3922,0.487,0.4458,1.2081
hour,10,1086,0.3957,0.3357,0.4585,0.3895,1.18
hour,11,1357,0.4405,0.3837,0.4945,0.4388,1.2597
hour,12,1831,0.4048,0.3448,0.4721,0.4057,1.249
hour,13,1837,0.4197,0.3791,0.4626,0.4219,1.2717
hour,14,1399,0.4859,0.4076,0.5616,0.4922,1.3364
hour,15,1155,0.5254,0.4109,0.6421,0.5364,1.3836
hour,16,1331,0.4232,0.3551,0.4982,0.4248,1.1831
hour,17,890,0.4018,0.3445,0.4815,0.406,1.1083
hour,18,741,0.3534,0.3013,0.4084,0.3699,1.0982
hour,19,756,0.4043,0.3659,0.4415,0.4225,1.1419
hour,20,471,0.3656,0.2857,0.4493,0.3874,1.0892
hour,21,263,0.3748,0.3205,0.4402,0.4002,0.9973
hour,22,71,0.3301,0.2902,0.3954,0.3606,0.8922
timeblock,morning (06-10),3127,0.464,0.4252,0.5027,0.4738,1.2413
timeblock,midday (10-16),8665,0.4416,0.408,0.473,0.4437,1.2789
timeblock,evening (16-20),3718,0.4003,0.3691,0.4319,0.4089,1.1399
timeblock,night (20-23),805,0.3655,0.3095,0.4186,0.3892,1.0418
weekend,weekday,11878,0.4309,0.4049,0.4573,0.4362,1.2508
weekend,weekend,4437,0.4375,0.3871,0.4863,0.446,1.168
seg_len,Q1 shortest,4319,0.3328,0.3167,0.3491,0.339,0.9539
seg_len,Q2,4108,0.2904,0.2499,0.3421,0.3009,1.0967
seg_len,Q3,3833,0.7026,0.6723,0.7358,0.7041,1.6082
seg_len,Q4 longest,4055,0.4282,0.403,0.4575,0.4342,1.2949
weather,clear,7013,0.4435,0.4111,0.4763,0.4545,1.2557
weather,cloudy,8978,0.4184,0.3931,0.4449,0.4204,1.1997
weather,rainy,324,0.5949,0.4904,0.6651,0.6095,1.4278
direction,Cengizhan->Halkapinar,5358,0.5398,0.5103,0.5697,0.5426,1.2744
direction,Halkapinar->Cengizhan,10957,0.3803,0.3512,0.4053,0.3881,1.2058
